objid,anomaly_score,is_anomaly,ra,dec,simbad_match,ned_match,any_catalog_match,vae_score
12376400000000000608,-0.13553613723881697,True,255.6968847259849,-1.374775922192569,False,False,False,5.0446977615356445
12376400000000000518,-0.11968167631009541,True,5.512226753874656,-3.646162877822519,False,False,False,5.330322265625
12376400000000003407,-0.11382576725594074,True,285.3823498120183,21.19307200137963,False,False,False,5.643360137939453
12376400000000006055,-0.10103119255910464,True,295.03243689758216,13.002510767864187,False,False,False,3.2575724124908447
12376400000000002823,-0.09768107114145452,True,294.3566673136602,13.113178573498484,False,False,False,3.097022533416748
12376400000000004438,-0.09075434756912759,True,251.19597937407764,49.40753890235585,False,False,False,5.052392959594727
12376400000000004558,-0.08986786312025297,True,257.97301395902025,48.69134804858275,False,False,False,4.844609260559082
12376400000000001679,-0.08911724848242619,True,307.0097287492472,15.204538450489544,False,False,False,5.600341796875
12376400000000004539,-0.0860520477501937,True,8.582524529030444,-0.8900950707713626,False,False,False,4.960683822631836
12376400000000002551,-0.08554293962924209,True,288.38896872447106,-3.628021461028695,False,False,False,4.638504981994629
12376400000000002817,-0.08520080250442719,True,110.8019470680786,31.837006426138075,False,False,False,5.859848976135254
12376400000000003968,-0.08494094568771038,True,59.806693950570974,-13.538838889018216,False,False,False,5.102461814880371
12376400000000002711,-0.08295196566894314,True,287.92988918998753,17.897527666750285,False,False,False,3.0272631645202637
12376400000000004018,-0.07899955558291649,True,185.3462147716908,43.82689322218837,False,False,False,5.267319202423096
12376400000000001375,-0.07881519162607464,True,297.85737115636664,17.755705482833793,False,False,False,3.6807899475097656
12376400000000000250,-0.07756284018365511,True,77.32056343549964,-2.7336359253098266,False,False,False,4.877528667449951
12376400000000004088,-0.07708140377027495,True,41.46667706922358,-2.408394174088324,False,False,False,5.049633026123047
12376400000000003558,-0.06878512968683392,True,248.9665801440736,45.53396433469049,False,False,False,4.799326419830322
12376400000000005655,-0.0670085063284438,True,302.13737209568103,10.184243988626337,False,False,False,5.443567276000977
12376400000000004348,-0.06682261481923035,True,164.8938342669743,-6.622771033370228,False,False,False,5.153357028961182
12376400000000003127,-0.06662715307445966,True,298.3821201573336,16.77894195746701,False,False,False,3.108548402786255
12376400000000003738,-0.06355931289228944,True,183.70210346061788,51.39148527044371,False,False,False,5.002017021179199
12376400000000005887,-0.060624470578330314,True,301.74536649202435,13.925523455074831,False,False,False,5.621870994567871
12376400000000003431,-0.060560017823378165,True,293.8830141726602,13.052236250114229,False,False,False,3.7100040912628174
12376400000000006143,-0.0529762874933285,True,301.490723335586,14.504355074571698,False,False,False,5.488038539886475
12376400000000004898,-0.05265607686189466,True,188.91681967331908,47.45322315076153,False,False,False,5.055663108825684
12376400000000004808,-0.051216158501414366,True,50.403648420204505,-4.853898728652533,False,False,False,5.171237468719482
